Agent,Synonyms
Plutonium,"['Pu', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Thorium-232 and its decay products,"['Th-232', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Isoeugenol,"['2-Methoxy-4-(1-propenyl)phenol', '2-Methoxy-4-propenylphenol', '2-Methoxy-4-(1-propen-1-yl)phenol', '4-Propenylguaiacol', 'trans-Isoeugenol', 'Isomer of Eugenol', 'Phenol', '2-methoxy-4-(1-propenyl)-', 'trans-', 'Phenol', '2-methoxy-4-(1-propenyl)-', '(E)-', 'Phenol', '2-methoxy-4-(1-propenyl)-', 'Isomer', '4-allyl-2-methoxyphenol isomer', 'cis-Isoeugenol', 'gamma-Isoeugenol', '2-Methoxy-4-(prop-1-enyl)phenol', 'Propenylguaiacol', 'Isoeugenole']"
ortho-Aminoazotoluene,"['2-Aminoazotoluene', '2-Methyl-4-[(2-methylphenyl)diazenyl]aniline', ""2'"", '3-Dimethyl-4-aminoazobenzene', 'Oil Scarlet', 'Solvent Yellow 3', 'o-Aminoazotoluene', 'Azotoluene', 'amino-', 'Dimethylaminoazobenzene', '4-o-Tolylazo-o-toluidine', 'Fast Garnet GBC base', 'C.I. Solvent Yellow 3', '4-(o-Tolylazo)-o-toluidine', 'o-Aminoazotoluol', 'AAT', '3-Dimethylaminoazobenzene']"
Disulfiram,"['Tetraethylthiuram disulfide', 'Bis(diethylthiocarbamoyl) disulfide', 'Antabuse', 'Abstinyl', 'Ethyl Thiuram Disulfide', 'TTD', 'Tetraethylthioperoxydicarbonic diamide', 'Alcohol deterrent', 'Tetraethylthiuram', 'Refusal', 'Tetradine', 'Ro-1-3663', 'Stopetyl', 'Exhorran', 'Alcophobin']"
Butyl methacrylate,"['Butyl 2-methyl-2-propenoate', '2-Methyl-2-propenoic acid butyl ester', 'Methacrylic acid butyl ester', 'n-Butyl methacrylate', 'BMA', 'Butylmethacrylate', 'NSC 4224', 'Butyl 2-methylacrylate', 'UN 2227', '2-Methylacrylic acid butyl ester', 'n-Butyl 2-methylacrylate', 'Butyl ester of methacrylic acid', 'Methacrylate de butyle', 'Méthacrylate de butyle', 'Butyl ester of 2-methyl-2-propenoic acid']"
Furfuryl alcohol,"['2-Furylmethanol', '2-Furanmethanol', '2-Hydroxymethylfuran', 'Furfural alcohol', 'Furylcarbinol', '2-Furancarbinol', 'Furan-2-ylmethanol', 'UN 2874', 'FA', '2-Furylmethane', 'Furan methanol', '(2-Furyl)methanol', '2-Furan methanol', '2-Hydroxymethyl furane', '<no synonym>']"
Furfural,"['2-Furaldehyde', 'Furan-2-carbaldehyde', 'Furfuraldehyde', '2-Formylfuran', 'Fural', 'Artificial ant oil', 'UN 1199', '2-Furancarboxaldehyde', 'Furan-2-aldehyde', '2-Furanal', '2-Formyl furane', 'Antimyk', 'Furaldehyde', '<no synonym>', '<no synonym>']"
4-Chlorobenzotrifluoride,"['p-Chlorobenzotrifluoride', '1-Chloro-4-(trifluoromethyl)benzene', 'Benzene', '4-chloro-1-(trifluoromethyl)-', 'p-Chloro-α', 'α', 'α-trifluorotoluene', '4-Chloro-alpha', 'alpha', 'alpha-trifluorotoluene', 'PCBTF', '4-CBTF', 'para-Chlorobenzotrifluoride', '1-chloro-4-(trifluoromethyl) benzene', 'UN 2234', '4-Chlorotrifluoromethylbenzene', 'p-Chloro trifluoromethylbenzene', '4-Chlorobenzenetrifluoride', 'p-Chlorotrifluorotoluene', 'Parachlorobenzotrifluoride']"
Cumene,"['Isopropylbenzene', '(1-Methylethyl)benzene', 'Benzene', 'isopropyl-', '2-Phenylpropane', 'Cumol', 'Isocumene', 'Methyl ethyl benzene', 'Cumyl hydride', 'UN 1918', 'Phenylpropane', 'sec-Propylbenzene', 'Propylbenzene', '1-Methylethylbenzene', 'Cumene', 'inhibited']"
α-Methylstyrene,"['alpha-Methylstyrene', '2-Phenylpropene', '2-Phenyl-1-propene', 'Isopropenylbenzene', '1-Methyl-1-phenylethylene', 'alpha-Methylstyrol', 'AMS', '2-Phenylpropylene', '1-Methyl-1-phenylethene', 'Methylstyrene', '2-Phenyl-1-propene', 'Vinylbenzene', '1-Methyl', 'Methyl phenyl ethylene', 'Phenylpropene']"
"alpha-Chlorinated toluenes (benzal chloride, benzotrichloride, benzyl chloride) and benzoyl chloride (combined exposures)","['Benzal chloride: Dichloromethylbenzene', 'Benzylidene chloride', 'alpha', 'alpha-Dichlorotoluene', 'Toluene dichloride; Benzotrichloride: Trichloromethylbenzene', 'alpha', 'alpha', 'alpha-Trichlorotoluene', 'Toluene trichloride', 'Benzylidyne trichloride; Benzyl chloride: Chloromethylbenzene', 'alpha-Chlorotoluene', 'Toluene', 'alpha-chloro-; Benzoyl chloride: Benzenecarbonyl chloride', 'Chlorocarbonylbenzene', 'Benzoylchlorid', 'Phenylcarbonyl chloride', '<no synonym>']"
Nitrobenzene,"['Nitrobenzol', 'Oil of mirbane', 'Essence of mirbane', 'NB', 'UN 1662', 'Myrbane', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
Rhodamine 6G,"['Basic Red 1', 'C.I. Basic Red 1', 'Rhodamine 560', 'C.I. 45160', 'Aizen Rhodamine 6GH', 'Brilliant Rhodamine 6G', 'Brilliant Rhodamine 6G [chloride]', 'Calcofast Spirit Red 6G', 'Cartasol Red 6G']"
Nitrotoluenes,"['Methylnitrobenzene', 'NT', 'Mononitrotoluene', 'Nitrotoluol', 'Methylnitrobenzol', 'MNT', 'Mononitrotoluol', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>', '<no synonym>']"
5-Nitro-ortho-toluidine,"['5-Nitro-2-toluidine', '2-Amino-4-nitrotoluene', '3-Nitro-6-aminotoluene', '5-Nitro-2-methylaniline', 'C.I. Developer 5', 'Developer 5', 'Azogene Red', 'Devol Red GG', '2-Methyl-5-nitroaniline', '2-Amino-4-nitro-1-methylbenzene', 'Amarthol Fast Red GG Base', 'Azoene Fast Red GG Salt', 'Fast Red GG Base', 'Fast Red GG Salt', '<no synonym>', '<no synonym>']"
"1,2-Diamino-4-nitrobenzene","['4-Nitro-o-phenylenediamine', '4-Nitro-1', '2-diaminobenzene', '4-Nitro-1', '2-benzenediamine', '1', '2-Benzenediamine', '4-nitro-', '4-Nitro-o-phenylene diamine', '4-Nitro-o-phenylene-diamine', '4-Nitro-1', '2-phenylenediamine', '1', '2-Diamino-4-nitro-benzene', '1', '2-Diamino-4-nitro benzene', '4-Nitro-1', '2 diaminobenzene', '4-Nitro-o-phenylenediamine', '4-Nitro-1', '2-Benzenediamine', '1', '2-Benzenediamine', '4-Nitro', '4-Nitro-ortho-phenylenediamine']"
2-Amino-4-nitrophenol,"['4-Nitro-2-aminophenol', '2-Hydroxy-5-nitroaniline', '2-Amino-p-nitrophenol', '4-Nitro-2-hydroxylamine', '2-Amino-4-nitro phenol', '2-Amino-4-nitro-phenol', '4-Nitro-2-amino phenol', '4-Nitro-2-amino-phenol', '2-Amino-4-nitrophenol', '2-Amino-4-nitro phenol', '4-Nitro-2-aminophenol', '2-Amino-4-nitrophenol', '4-nitro-2-aminophenol', '2-Amino-4-nitrophenol', '2-Hydroxy-5-nitroaniline']"
5-Nitro-ortho-anisidine,"['5-Nitro-2-methoxyaniline', '2-Amino-5-nitroanisole', 'o-Anisidine', '5-nitro-', '2-Methoxy-5-nitroaniline', '5-Nitro-2-anisidine', '5-Nitro-o-anisidine', '5-Nitro-2-methoxyphenylamine', '2-Methoxy-5-nitro-aniline', '2-Amino-5-nitroanisole', '5-Nitro-o-anisidine', '5-Nitro-2-methoxyaniline', '5-nitro-o-anisidine', '5-Nitro-2-methoxyaniline', '<no synonym>', '<no synonym>']"
"N-Methyl-N,4-dinitrosoaniline","['Diazomethane yellow', 'p-Nitroso-N-methylaniline diazonium salt', 'N-Methyl-N', '4-dinitrosobenzenamine', '4-Nitroso-N-methylaniline', 'N-Methyl-N-nitroso-p-nitrosoaniline', 'N-Nitroso-N-methyl-4-nitrosoaniline', 'N-Methyl-N', '4-dinitrosoaniline', 'N-methyl-N', '4-dinitroso aniline', 'N-Methyl-N', '4-dinitroso aniline', 'N-Methyl-N', '4 dinitrosoaniline', 'N-Methyl-N', '4-dinitroso aniline', 'N-Methyl-N', '4-dinitroso aniline', 'N-Methyl-N', '4-dinitrosoaniline', 'N-Methyl-N', '4-dinitrosoaniline', '<no synonym>']"
"N,N-Dimethyl-p-toluidine","['N', 'N-Dimethyl-4-toluidine', '4-(Dimethylamino)toluene', 'p-(Dimethylamino)toluene', 'Benzene', '1-(dimethylamino)-4-methyl', 'N', 'N-Dimethyl-4-methylaniline', 'Dimethyl-p-toluidine', 'DMPT', 'N', 'N-Dimethyl-p-methylaniline', '4-Methyl-N', 'N-dimethylaniline', '4-(N', 'N-Dimethylamino)toluene', '4-(Dimethylamino)-1-methylbenzene', 'UN 2257', 'N', 'N-dimethyl-4-methyl-aniline', 'P-Toluidine', 'N', 'N-dimethyl-']"
tert-Amyl methyl ether,"['2-Methoxy-2-methylbutane', 'Methyl tert-amyl ether', 'MTBE homolog', '2-Methyl-2-methoxybutane', '2-Methoxy-2-methyl butane', 'Methyl tertiary amyl ether', 'TAME', 'tert-Amylmethylether', 'Methyl tert-pentyl ether', '2-Methyl-2-Butoxymethane', '2-methoxy-2 methylbutane', '2-Methoxy-2-methylbutane', 'TAMe', 'Methyl-tert-pentyl ether', 'tert Amyl methyl ether']"
Arsenic and inorganic arsenic compounds,"['arsenic', 'arsenicals', 'arsenic salts', 'arsenic trioxide', 'arsenic pentoxide', 'arsenic sulfide', 'arsenic trichloride', 'gallium arsenide', 'arsine', 'inorganic arsenic', 'arsenic-based substances', 'arsenic-containing materials', 'arsenic(III) compounds', 'arsenic(V) compounds', 'arsenic alloys']"
Beryllium and beryllium compounds,"['beryllium', 'glucinium', 'beryllium oxide', 'beryllium chloride', 'beryllium sulfate', 'beryllium alloys', 'beryllium-containing materials', 'beryllium dust', 'beryllium fumes', 'beryllium salts', 'beryllium hydroxide', 'beryllium carbonate', 'beryllium nitrate', 'beryllium phosphate', 'beryllium fluoride']"
Cadmium and cadmium compounds,"['cadmium', 'cadmium oxide', 'cadmium chloride', 'cadmium sulfide', 'cadmium sulfate', 'cadmium alloys', 'cadmium-containing materials', 'cadmium dust', 'cadmium fumes', 'cadmium salts', 'cadmium selenide', 'cadmium telluride', 'cadmium stearate', 'cadmium pigments', 'cadmium carbonate']"
"Chromium, metallic","['chromium', 'elemental chromium', 'chromium metal', 'chromium(0)', 'pure chromium', 'chromium substance', 'chromium solid', 'chromium particles', 'chromium powder', 'Cr metal', 'Cr(0)', 'metallic chromium', 'chromium element', 'chromium in its elemental form', 'solid chromium']"
Cobalt metal (without tungsten carbide or other metal alloys),"['cobalt', 'elemental cobalt', 'cobalt metal', 'cobalt(0)', 'pure cobalt', 'cobalt substance', 'cobalt solid', 'cobalt particles', 'cobalt powder', 'Co metal', 'Co(0)', 'metallic cobalt', 'cobalt element', 'cobalt in its elemental form', 'solid cobalt']"
Cobalt metal with tungsten carbide,"['cobalt-tungsten carbide', 'WC-Co', 'cobalt-tungsten alloy', 'cemented carbide', 'hard metal', 'cobalt-tungsten composite', 'cobalt-WC composite', 'cobalt-bonded tungsten carbide', 'cobalt-cemented tungsten carbide', 'tungsten carbide with cobalt binder', 'cobalt-tungsten carbide mixture', 'WC-Co alloy', 'cobalt-tungsten hardmetal', 'cobalt-tungsten cermet', 'cobalt-tungsten sintered material']"
"Uranium, mixture of isotopes (see Radionuclides, alpha-particle-emitting, internally deposited)","['uranium', 'enriched uranium', 'depleted uranium', 'natural uranium', 'uranium isotopes', 'uranium-235', 'uranium-238', 'uranium compounds', 'radioactive uranium', 'uranium oxide', 'uranium dioxide', 'uranium trioxide', 'uranium hexafluoride', 'mixed uranium isotopes', 'alpha-emitting uranium']"
Sulfur dioxide,"['sulfur dioxide', 'SO2', 'sulfurous anhydride', 'sulfurous oxide', 'sulfur oxide', 'sulfuric oxide', 'sulfur dioxide gas', 'sulfur dioxide liquid', 'sulphurous acid anhydride', 'sulfur dioxide fumes', 'sulfur dioxide emissions', 'sulfur dioxide pollutant', 'sulfur dioxide irritant', 'sulfur dioxide asphyxiant', 'sulfur dioxide byproduct']"
Glycidyl stearate,"['glycidyl stearate', 'GS', 'stearic acid glycidyl ester', 'glycidyl octadecanoate', 'octadecanoic acid glycidyl ester', '2', '3-epoxypropyl stearate', 'stearic acid epoxide', 'glycidyl stearate ester', '2', '3-epoxypropyl octadecanoate', 'GS ester', 'glycidyl stearate derivative', 'epoxy stearate', 'stearate glycidyl', 'glycidyl stearin', 'octadecanoate glycidyl']"
Zalcitabine,"['zalcitabine', 'ddC', ""2'"", ""3'-dideoxycytidine"", 'dideoxycytidine', 'HIVID', ""2'"", ""3'-dideoxycytosine"", 'ddCyd', 'Ro 24-2030', 'Hivid', 'dideoxycytosine', '2', '3-dideoxycytidine', 'Zalcitabin', 'Roche 24-2030', 'ddC analogue', ""2'"", ""3'-dideoxycytidine analog""]"
6-Nitrochrysene,"['6-nitrochrysene', '6-NC', '6-nitrochrycene', '6-nitro-chrysene', 'nitrochrysene', '6-nitrobenz[a]anthracene', 'benz[a]anthracene', '6-nitro derivative', '6-nitrochrysene compound', '6-nitrochrysene isomer', '6-NC chrysene', '6-nitrochrysene PAH', 'nitro-substituted chrysene', '6-nitrochrysene polycyclic', '6-nitrochrysene aromatic hydrocarbon']"
Chloroethane,"['chloroethane', 'ethyl chloride', 'monochloroethane', 'C2H5Cl', 'Muriate ether', 'Aethylis chloridum', 'Anesthetic ether', 'Chelen', 'Chlorethyl', 'Kelene', 'Narcotile', 'Chlorid ethylicus', 'Ethylchlorid', 'Ethyle chloride', 'Hydrochloric ether']"
Vinyl chloride,"['vinyl chloride', 'chloroethene', 'VC', 'monochloroethylene', 'ethylene monochloride', 'chloroethylene', 'VCM', 'Chloroethene', 'Vinylchlorid', 'ethylene chloride', 'chloro-ethylene', 'chlorvinyl', 'vinylchlorid', 'vinylchloride monomer', 'chloroethylenes']"
Vinyl fluoride,"['vinyl fluoride', 'fluoroethene', 'VF', 'monofluoroethylene', 'ethylene monofluoride', 'fluoroethylene', 'VF monomer', 'Fluoroethene', 'vinylfluorid', 'ethylene fluoride', 'fluoro-ethylene', 'fluorvinyl', 'vinylfluorid', 'vinylfluoride monomer', 'fluoroethylenes']"
Acetaldehyde,"['acetaldehyde', 'ethanal', 'acetic aldehyde', 'ethyl aldehyde', 'CH3CHO', 'acetyl aldehyde', 'ethanal', 'aldehyde C-2', 'ethylaldehyde', 'Acetaldehyd', 'Aldehyde acetique', 'Acetaldehyde solution', 'Ethanaldehyde', 'methylformaldehyde', 'ethanal solution']"
Acetaldehyde associated with consumption of alcoholic beverages,"['acetaldehyde (alcohol related)', 'alcohol-related acetaldehyde', 'ethanol-derived acetaldehyde', 'beverage acetaldehyde', 'alcoholic acetaldehyde', 'acetaldehyde from alcohol', 'acetaldehyde from ethanol', 'acetaldehyde after alcohol consumption', 'acetaldehyde post-alcohol', 'acetaldehyde in alcohol metabolism', 'alcohol acetaldehyde', 'ethanol acetaldehyde', 'acetaldehyde byproduct of alcohol', 'acetaldehyde linked to alcohol', 'acetaldehyde formed during alcohol consumption']"
Dichloromethane (Methylene chloride),"['dichloromethane', 'methylene chloride', 'DCM', 'methylene dichloride', 'CH2Cl2', 'methylene', 'Freon 30', 'R-30', 'DCM solvent', 'MDC', 'Aerothene MM', 'Dichloromethan', 'Methane dichloride', 'Methylenechlorid', 'Solaesthin']"
Ethylene oxide,"['ethylene oxide', 'oxirane', 'EtO', 'epoxyethane', 'dimethylene oxide', '1', '2-epoxyethane', 'ethene oxide', 'EO', 'oxacyclopropane', 'alpha-epoxyethane', 'Ethylene oxide', 'Dihydrooxirene', 'Oxidoethane', 'oxirane ring', 'oxyrane']"
Bromoform,"['bromoform', 'tribromomethane', 'methyl tribromide', 'CHBr3', 'tribromated methane', 'methane tribromide', 'formyl tribromide', 'bromo form', 'Tribromomethane', 'Bromoforme', 'Methenyl tribromide', 'methylidyne tribromide', 'formylbromide', 'Tribromomethane solution', 'tribromomethane mixture']"
2-Bromopropane,"['2-bromopropane', 'isopropyl bromide', 'sec-propyl bromide', 'CH3CHBrCH3', 'Isopropylbromide', '2-Propyl bromide', '2-BP', 'propane', '2-bromo', 'propan-2-yl bromide', 'sec-bromopropane', '2-bromopropan', '2 bromopropane', '2 bromopropan', 'iso propyl bromide', '2-brom propan']"
Bromodichloromethane,"['bromodichloromethane', 'dichlorobromomethane', 'BDCMe', 'CHBrCl2', 'dichloromonobromomethane', 'dichloromethyl bromide', 'bromated dichloromethane', 'dichlorinated bromomethane', 'bromodichloro methane', 'dichlorobromo methane', 'Bromodichloromethan', 'Dichlorobrommethan', 'Dichlorobromomethane', 'bromodichloromethanes', 'Dichlorobromethanes']"
Vinylidene chloride,"['vinylidene chloride', '1', '1-dichloroethene', '1', '1-DCE', 'VDC', '1', '1-dichloroethylene', 'asym-dichloroethylene', 'dichloroethene', 'R-1132a', 'VCd', 'Vinylidene chloride monomer', '1', '1 dichloroethane', '1 1 dichloroethene', 'DCE', 'Dichloro-ethane', 'Dichlorethene']"
Vinylidene fluoride,"['vinylidene fluoride', '1', '1-difluoroethene', '1', '1-DFE', 'VDF', '1', '1-difluoroethylene', 'asym-difluoroethylene', 'difluoroethene', 'R-1132a', 'VFd', 'Vinylidene fluoride monomer', '1', '1 difluoroethane', '1 1 difluoroethene', 'DFE', 'Difluoro-ethane', 'Difluorethene']"
Chlorodifluoromethane,"['chlorodifluoromethane', 'R-22', 'Freon 22', 'HCFC-22', 'difluorochloromethane', 'monofluorodichloromethane', 'chlorofluorocarbon 22', 'CFC-22 substitute', 'Freon R-22', 'refrigerant 22', 'chlorodifluormethane', 'R 22', 'CHClF2', 'Freon-22 refrigerant', 'HCFC 22']"
Nitromethane,"['nitromethane', 'methyl nitrate', 'NM', 'nitrocarbol', 'CH3NO2', 'nitro methane', 'nitromethan', 'Nitromethaan', 'Nitromethan', 'Nitroparaffine', 'nitro-methane', 'methylnitrate', 'mononitromethane', 'methanenitrate', 'nitromethane solution']"
2-Methylaziridine (Propyleneimine),"['2-methylaziridine', 'propyleneimine', '2-methyl azacyclopropane', '2-methylazirane', '1', '2-propyleneimine', 'methylaziridine', 'C3H7N', 'Propylenimine', '2-Methylaziridin', '2-Methylaziridine', '2-methyl-aziridine', '2 methylaziridine', 'Methyl aziridine', '2 methyl aziridine', '2-methyl-aziridine']"
Propylene oxide,"['propylene oxide', 'methyl oxirane', 'PO', '1', '2-epoxypropane', 'methyloxirane', 'epoxypropane', 'propene oxide', '1', '2-propylene oxide', 'PO monomer', 'Propylenoxide', 'propene epoxide', 'Propylene oxide', 'Epoxy propane', '1', '2 epoxypropane', 'methyloxirane']"
Dimethylarsinic acid,"['dimethylarsinic acid', 'DMAA', 'cacodylic acid', 'hydroxydimethylarsine oxide', 'dimethylarsinate', 'dimethylarsinic(V) acid', 'dimethylarsine oxide', '(CH3)2AsOOH', 'Cacodylate', 'Dimethylarsinate', 'Dimethylarsinic acid solution', 'Dimethylarsinic acid', 'Dimethylarsinic acid', 'dimethyl arsenic acid', 'dimethyl arsenic acid']"
tert-Butyl alcohol,"['tert-butyl alcohol', '2-methyl-2-propanol', 't-butanol', 'TBA', 'trimethyl carbinol', 'tertiary butyl alcohol', '2-methylpropan-2-ol', '2 methyl 2 propanol', 'tert butanol', 'trimethylmethanol', '(CH3)3COH', 'tert-butanol alcohol', 'trimethyl-carbinol', '2methyl-2-propanol', 'trimethylcarbinol']"
Chloral,"['chloral', 'trichloroacetaldehyde', 'trichloroethanal', 'trichloracetaldehyde', 'CCl3CHO', 'Cl3CCHO', 'trichloro acetaldehyde', 'chloral anhydrous', 'trichloroaldehyd', 'trichloracetaldehyd', 'Anhydrous chloral', 'Trichloracetal', '2', '2', '2-Trichloroethanal', 'trichloro aldehyde', 'chloral monomer']"
"2-Chloro-1,1,1-trifluoroethane","['2-chloro-1', '1', '1-trifluoroethane', 'halothane precursor', 'chlorotrifluoroethane', 'trifluorochloroethane', '1', '1', '1-trifluoro-2-chloroethane', 'Freon 113a', 'CFC-113a', '2-chloro-trifluoroethane', '1-chloro-2', '2', '2-trifluoroethane', '2 chlorotrifluoroethane', '1 chloro 2', '2', '2 trifluoroethane', 'haloethane precursor', 'fluorocarbon chloroethane', 'chloro-trifluoroethane', 'trifluoro-chloroethane']"
N-Nitrosoproline,"['N-Nitrosoproline', 'NPRO', 'N-nitroso-L-proline', 'nitroso proline', 'N-nitroso proline', 'N nitroso proline', 'L-proline', 'N-nitroso', 'nitroso-L-proline', 'N-Nitrosoprolin', 'nitroso-proline', 'nitroso-proline', 'N Nitrosoproline', 'N-nitrosoproline acid', 'nitroso L proline']"
"1,3-Dinitropyrene","['1', '3-dinitropyrene', '1', '3-DNP', '1', '3-dinitro pyrene', '1', '3-Dinitropyren', 'Dinitropyrene', 'Dinitropyrene isomer', '1', '3-dinitro-pyrene', '1', '3-Dinitro-pyrene', 'dinitropyrenes', 'nitropyrene', '1', '3-DNP isomer', '1 3 dinitropyrene', '1 3 dinitro pyrene', '1-3-dinitropyrene', '1', '3 dinitro-pyrene']"
Dichloroacetylene,"['dichloroacetylene', 'DCA', 'dichloro ethyne', 'ClC≡CCl', 'dichloro-acetylene', 'dichlorethyne', 'dichloroethine', 'Dichloracetylene', 'Dichloro-acetylene', 'Dichloroethyne', 'dichloroethine', 'Dichlorinated acetylene', 'dichloro acetylen', 'dichlorethylene', 'Acetylenedichloride']"
